,RK,Name,GP,Min,True Shooting,ASTR,TOR,USG,ORR,DRR,REBR,PER,VA,EVA
297,,Aaron Brooks,66,16.2,0.491,23.6,10.9,23.3,2,7.6,4.8,11.79,12.5,0.4
100,101,Aaron Gordon,76,23.8,0.545,15,7.9,16.4,9.1,21.5,15.2,17.08,150.5,5
465,466,Aaron Harrison,18,4.1,0.309,4.3,12.8,12.3,5.8,9,7.4,1.84,-9.6,-0.3
445,446,Adreian Payne,49,9.4,0.434,13.8,16.3,16,4.3,21.4,12.9,5.77,-39.5,-1.3
50,51,Al Horford,78,32.1,0.564,17.6,7.2,19.5,6.4,17.8,12.2,19.5,332.6,11.1
94,95,Al Jefferson,42,23.3,0.494,10.5,4.9,21.9,5.7,23.8,14.6,17.26,97.2,3.2
267,,Al-Farouq Aminu,79,28.5,0.526,13.2,11.4,16.2,4.5,18.9,11.7,12.53,68.1,2.3
254,255,Alan Anderson,9,14.4,0.589,15.8,3.5,15.3,0.8,15.9,8.2,12.82,4.5,0.2
168,,Alan Williams,6,4.2,0.525,7.4,22.2,20.1,21.3,26.7,23.9,14.71,1.5,0.1
185,,Alec Burks,28,27.1,0.518,11.9,9.9,25.2,2.5,12.9,7.7,14.41,44.4,1.5
260,261,Alex Len,74,23,0.485,9.5,15.3,19.5,10.5,25.6,17.9,12.7,53.4,1.8
162,,Alex Stepheson,8,9.1,0.341,5.8,0,6.3,28.7,14.4,21.8,14.86,3.7,0.1
232,233,Alexis Ajinca,56,13.9,0.509,6.7,12,18.2,8.9,26,17.2,13.56,34.4,1.1
290,291,Allen Crabbe,78,26,0.564,11,7.1,15.6,1.4,9.8,5.6,12,45.5,1.5
403,404,Alonzo Gee,73,22.4,0.572,17.5,13.4,8.8,3.9,12.9,8.3,8.49,-49.1,-1.6
97,98,Amar'e Stoudemire,49,14.9,0.597,8.7,14.9,16.4,10.1,22.7,16.6,17.2,62,2.1
132,,Amir Johnson,74,22.8,0.599,18.8,13.5,13.4,10.5,19.3,14.9,15.96,112.4,3.7
318,319,Anderson Varejao,51,9.6,0.483,17.5,11,14.3,8.2,21.7,15.1,11.25,-1.8,-0.1
30,,Andre Drummond,78,33,0.503,4.4,10.1,22.7,15.5,34.3,24.5,21.58,421.7,14.1
266,267,Andre Iguodala,61,26.7,0.572,31.1,11.2,12.6,3.4,12.3,8.1,12.53,49.3,1.6
227,228,Andre Miller,37,10.9,0.632,36.5,15.6,15.9,2.9,8.7,5.8,13.63,15.9,0.5
374,375,Andre Roberson,67,22.2,0.556,12.5,9.5,9,5.8,11,8.6,9.88,-13.7,-0.5
292,293,Andrea Bargnani,46,13.8,0.5,5.2,7.5,21.4,4.9,12.5,8.6,11.97,0,0
131,132,Andrew Bogut,67,20.7,0.616,29.6,15.1,11.8,9.6,26.2,18.4,15.96,111.1,3.7
26,27,Andrew Goudelock,3,10,0.625,17.6,11.8,19.6,3.6,0,1.8,21.68,4.8,0.2
151,152,Andrew Nicholson,52,14.7,0.571,6.3,10,19,4.4,23.5,13.8,15.29,43.3,1.4
109,110,Andrew Wiggins,77,35.3,0.543,8.7,9.7,25.2,4.4,7.6,6,16.77,254.5,8.5
352,353,Anthony Bennett,19,4.4,0.446,0,11.3,17.3,8.3,22.9,15.7,10.46,0,0
453,454,Anthony Brown,29,20.7,0.427,11.3,8.9,10.4,1.6,11.4,6.3,4.96,-49.5,-1.7
9,10,Anthony Davis,61,35.5,0.559,7.4,7.7,27.2,6.4,26.2,16,25.22,443.2,14.8
353,354,Anthony Morrow,64,13.3,0.541,6.3,4.3,15.6,1.4,5.4,3.5,10.44,-0.7,0
363,364,Anthony Tolliver,68,18.5,0.537,12.7,6,11.8,3,16.1,9.3,10.22,-24.1,-0.8
354,355,Archie Goodwin,54,19.2,0.492,15.9,14.2,22.2,2.5,11.8,7,10.4,-1.5,-0.1
74,75,Aron Baynes,77,15,0.555,9.3,11.5,17.6,12.3,22.8,17.3,17.85,124.8,4.2
327,328,Arron Afflalo,67,33.7,0.531,13,7.7,17.2,1.1,11.2,6.2,11.08,19.6,0.7
326,,Austin Rivers,64,21.8,0.525,13.4,8.6,17.9,1.7,8,4.9,11.12,2.4,0.1
244,245,Avery Bradley,71,33.6,0.537,11.9,8.3,18.8,1.9,7,4.4,13.08,74,2.5
417,418,Axel Toupane,18,15.5,0.517,16,5.7,11.2,3.1,7.3,5.2,7.72,-11.6,-0.4
402,403,Ben McLemore,64,20.8,0.534,11.6,15,16.3,2.5,8.2,5.3,8.52,-39.4,-1.3
380,381,Beno Udrih,44,16.1,0.496,30.9,14.1,16.2,1.3,10,5.8,9.54,0,0
170,171,Bismack Biyombo,77,22.4,0.585,5.7,15.1,10.5,11.6,29.5,20.7,14.68,104.8,3.5
19,,Blake Griffin,32,34,0.548,17.8,8.7,28.4,5,21.7,13.4,22.48,178.5,6
4,5,Boban Marjanovic,50,8.6,0.649,7.5,10.9,21.7,18,26.4,22.3,27.73,109.7,3.7
212,213,Bobby Portis,58,17.2,0.47,9,9.2,19.7,11.4,19.5,15.5,13.87,35.3,1.2
330,331,Bojan Bogdanovic,74,26.7,0.558,10,11.5,17.8,2,11.8,6.8,10.99,14.6,0.5
