,Name,Team,Age,5_FGM,5_FGA,5_FGR,9_FGM,9_FGA,9_FGR,14_FGM,14_FGA,14_FGR,19_FGM,19_FGA,19_FGR,24_FGM,24_FGA,24_FGR,29_FGM,29_FGA,29_FGR
0,Aaron Brooks,CHI,31,0.9,2,45.9,0.4,0.9,41,0.3,0.6,45.9,0.2,0.6,35.9,0.4,1,35.3,0.6,1.7,36
1,Aaron Gordon,ORL,20,2.2,3.5,63.5,0.2,0.6,35.7,0.2,0.5,40,0.3,0.8,32.3,0.4,1.3,33.3,0.2,0.6,26.1
2,Aaron Harrison,CHA,21,0.1,0.2,25,0,0,0,0,0,0,0,0.1,0,0.1,0.4,16.7,0.1,0.2,33.3
3,Adreian Payne,MIN,25,0.4,0.7,51.5,0.2,0.5,34.8,0,0.2,22.2,0.1,0.5,27.3,0.3,0.8,41,0,0.2,14.3
4,Al Horford,ATL,29,3.1,4.3,72.7,0.4,1.3,32.4,0.3,0.8,33.3,1.3,2.9,46.6,1.1,2.7,39.7,0.3,0.9,29.9
5,Al Jefferson,CHA,31,2,3.4,58,1.1,2.9,39,0.8,2.1,38.9,1,2,48.8,0,0,100,0,0,0
6,Al-Farouq Aminu,POR,25,1.4,2.7,50.5,0.2,0.6,38.6,0.1,0.3,32,0.2,0.6,43.2,1.4,3.6,37.7,0.3,0.9,31.5
7,Alan Anderson,WAS,33,0.4,0.8,57.1,0,0.1,0,0.1,0.4,33.3,0.1,0.2,50,0.6,1.4,38.5,0.8,1.6,46.2
8,Alan Williams,PHX,23,0.5,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alec Burks,UTA,24,2.1,4.1,51.8,0.4,1.1,35.5,0.4,1.3,33.3,0.7,1.8,37.3,0.8,2.7,30.7,0.3,0.6,56.3
10,Alex Len,PHX,22,2.2,4.2,52.1,0.3,1.1,30.9,0.2,0.6,30.2,0.6,1.7,32.6,0.1,0.2,31.3,0,0,0
11,Alex Stepheson,MEM,28,1.1,2.7,42.1,0,0.6,0,0.1,0.4,33.3,0,0,0,0,0.1,0,0,0,0
12,Alexis Ajinca,NOP,27,1.2,1.9,62.6,0.3,1,30.4,0.1,0.4,33.3,0.7,1.5,47.6,0,0.2,15.4,0,0,0
13,Allen Crabbe,POR,23,0.9,1.3,65.7,0.1,0.4,35.5,0.3,0.6,53.2,0.7,1.7,42.2,1.5,3.5,42.9,0.2,0.8,30.6
14,Alonzo Gee,NOP,28,1.4,2.1,67.3,0,0.1,22.2,0,0.1,20,0.1,0.2,28.6,0.3,0.9,28.4,0,0,33.3
15,Amar'e Stoudemire,MIA,33,1.8,3,61.4,0.1,0.3,31.3,0.1,0.2,45.5,0.3,0.7,48.5,0,0,50,0,0,0
16,Amir Johnson,BOS,28,2.4,3.6,68.2,0.5,1,49.4,0.1,0.2,33.3,0,0.1,33.3,0.1,0.3,39.1,0,0.3,10
17,Anderson Varejao,GSW,33,0.5,1,51.9,0.1,0.4,38.9,0.1,0.3,25,0.3,0.7,42.1,0,0,0,0,0,0
18,Andre Drummond,DET,22,5.3,9.2,58.1,1.4,3.3,43.1,0.1,0.5,24.4,0,0.1,0,0,0,100,0,0,0
19,Andre Iguodala,GSW,32,1.4,1.9,71.8,0,0.2,25,0.2,0.3,47.6,0.3,0.7,38.1,0.6,1.6,38.1,0.3,0.9,35.7
20,Andre Miller,SAS,40,0.9,1.3,68.8,0.1,0.3,40,0.1,0.4,36.4,0.2,0.3,72.7,0,0.1,33.3,0.1,0.1,100
