,Name,Team,GP,Min,W,L,STL,BLK,DREB,DFGM,DFGA,DFGR
0,Aaron Brooks,CHI,66,16.2,33,33,0.4,0.1,1.2,0.5,0.8,57.1
1,Aaron Gordon,ORL,75,24.0,32,43,0.8,0.7,4.6,1.9,3.6,52.6
2,Aaron Harrison,CHA,18,4.1,12,6,0.2,0.0,0.3,0.1,0.2,25.0
3,Adreian Payne,MIN,49,9.4,16,33,0.3,0.2,1.8,1.2,1.9,64.2
4,Al Horford,ATL,78,32.1,46,32,0.8,1.5,5.3,4.0,8.2,49.1
5,Al Jefferson,CHA,42,23.3,29,13,0.6,0.9,5.0,3.0,5.5,54.8
6,Al-Farouq Aminu,POR,79,28.5,42,37,0.9,0.6,5.0,1.6,3.1,51.6
7,Alan Anderson,WAS,9,14.5,5,4,0.2,0.1,2.0,0.6,1.0,55.6
8,Alan Williams,PHX,6,4.2,0,6,0.3,0.0,1.0,0.3,0.8,40.0
9,Alec Burks,UTA,28,27.1,12,16,0.6,0.1,3.0,1.5,2.3,64.1
10,Alex Len,PHX,74,23.0,20,54,0.5,0.8,5.3,2.8,5.6,50.0
11,Alex Stepheson,MEM,8,9.0,2,6,0.1,0.6,1.1,1.4,3.3,42.3
12,Alexis Ajinca,NOP,56,13.9,19,37,0.3,0.6,3.2,1.5,3.1,49.7
13,Allen Crabbe,POR,78,26.0,41,37,0.8,0.2,2.3,0.6,1.2,49.5
14,Alonzo Gee,NOP,73,22.4,27,46,0.9,0.2,2.5,1.1,1.9,57.1
15,Amar'e Stoudemire,MIA,49,14.9,28,21,0.3,0.8,3.1,2.0,4.0,49.5
16,Amir Johnson,BOS,73,22.8,41,32,0.6,1.0,4.1,2.7,5.9,46.7
17,Anderson Varejao,GSW,51,9.6,39,12,0.3,0.2,1.9,1.3,2.2,56.6
18,Andre Drummond,DET,78,33.0,41,37,1.4,1.4,10.0,4.5,8.5,52.7
19,Andre Iguodala,GSW,61,26.7,55,6,1.1,0.3,3.2,1.1,1.8,60.0
