,Name,Assited FGM
0,J.J. O'Brien,0.00
1,Coty Clarke,100.00
2,Duje Dukan,100.00
3,Axel Toupane,96.00
4,Salah Mejri,75.51
5,Cristiano Felicio,80.00
6,Boban Marjanovic,61.90
7,Alan Williams,50.00
8,Bryce Dejean-Jones,57.14
9,Luis Montero,20.00
10,Mario Hezonja,64.09
11,Joe Young,25.81
12,Larry Nance Jr.,74.05
13,Josh Richardson,65.04
14,Darrun Hilliard,59.62
15,Justise Winslow,64.80
16,Willie Cauley-Stein,75.92
17,Kelly Oubre,65.56
18,Frank Kaminsky,70.70
19,Devin Booker,54.50
20,Cameron Payne,34.21
21,Myles Turner,79.92
22,Trey Lyles,68.06
23,Stanley Johnson,49.78
24,Jerian Grant,38.96
25,Bobby Portis,65.59
26,Kevon Looney,50.00
27,Rashad Vaughn,90.12
28,Christian Wood,68.18
29,Jordan Mickey,50.00
30,Rakeem Christmas,100.00
31,Rondae Hollis-Jefferson,58.73
32,Terry Rozier,41.38
33,Norman Powell,56.70
34,Branden Dawson,50.00
35,Jarell Martin,57.41
36,Chris McCullough,77.27
37,Pat Connaughton,61.54
38,Sam Dekker,0.00
39,D'Angelo Russell,41.07
40,Karl-Anthony Towns,67.84
41,Richaun Holmes,73.68
42,RJ Hunter,75.00
43,Delon Wright,16.67
44,Tristan Thompson,70.04
45,Jonas Valanciunas,61.69
46,Bismack Biyombo,74.34
47,Brandon Knight,36.66
48,Kemba Walker,32.22
49,Jimmer Fredette,100.00
50,Klay Thompson,80.95
51,Alec Burks,32.85
52,Markieff Morris,66.23
53,Marcus Morris,50.00
54,Kawhi Leonard,54.53
55,Nikola Vucevic,60.98
56,Iman Shumpert,68.42
57,Tobias Harris,63.31
58,Donatas Motiejunas,76.67
59,Kenneth Faried,68.48
60,Nikola Mirotic,83.47
61,Reggie Jackson,14.07
62,Jordan Hamilton,48.98
63,Norris Cole,36.22
64,Cory Joseph,28.57
65,Jimmy Butler,47.87
66,Bojan Bogdanovic,71.60
67,Justin Harper,100.00
68,Kyle Singler,82.56
69,Shelvin Mack,37.36
70,Chandler Parsons,60.63
71,Jon Leuer,67.86
72,Andrew Goudelock,11.11
73,Lavoy Allen,69.11
74,E'Twaun Moore,55.61
75,Isaiah Thomas,42.47
76,Greg Smith,77.78
77,Anthony Davis,74.11
78,Michael Kidd-Gilchrist,57.58
79,Bradley Beal,53.76
80,Dion Waiters,47.87
81,Thomas Robinson,53.08
82,Damian Lillard,30.26
83,Terrence Ross,73.48
84,Andre Drummond,53.08
85,Harrison Barnes,73.22
86,Austin Rivers,46.85
87,Meyers Leonard,86.60
88,Jeremy Lamb,54.35
89,Kendall Marshall,51.16
90,John Henson,75.61
91,Maurice Harkless,63.59
92,Tyler Zeller,78.26
93,Terrence Jones,74.70
94,Andrew Nicholson,53.42
95,Evan Fournier,61.54
96,Jared Sullinger,64.10
97,John Jenkins,66.20
98,Jared Cunningham,77.78
99,Tony Wroten,27.27
100,Miles Plumlee,75.00
101,Festus Ezeli,81.60
102,Jae Crowder,82.45
103,Draymond Green,70.32
104,Orlando Johnson,66.67
105,Quincy Acy,74.79
106,Khris Middleton,55.03
107,Will Barton,49.30
108,Mike Scott,89.20
109,Kostas Papanikolaou,70.83
110,Kyle O'Quinn,63.57
111,Robert Sacre,70.97
112,Hollis Thompson,82.59
113,Mirza Teletovic,76.51
114,Chris Copeland,82.35
115,Pablo Prigioni,36.36
116,Kent Bazemore,66.88
117,Brian Roberts,41.89
118,Henry Sims,87.88
119,Willie Reed,68.42
120,Chris Johnson,66.67
121,Justin Holiday,80.68
122,JaMychal Green,68.70
123,Jorge Gutierrez,16.67
124,Aron Baynes,75.26
125,Nerlens Noel,66.99
126,Alex Len,67.05
127,Allen Crabbe,83.65
128,Andre Roberson,77.21
129,Anthony Bennett,50.00
130,Archie Goodwin,39.20
131,Ben McLemore,76.92
132,CJ McCollum,36.19
133,Cody Zeller,78.79
134,Dennis Schroder,34.65
135,Dewayne Dedmon,77.78
136,Erick Green,20.00
137,Gorgui Dieng,71.75
138,Isaiah Canaan,64.23
139,Jeff Withey,80.46
140,Kelly Olynyk,73.52
141,Kentavious Caldwell-Pope,58.31
142,Lorenzo Brown,37.50
143,Mason Plumlee,68.91
144,Michael Carter-Williams,38.25
145,Mike Muscala,82.89
146,Otto Porter,76.40
147,Ray McCallum,58.18
148,Reggie Bullock,81.40
149,Robert Covington,79.93
150,Rudy Gobert,62.63
151,Shabazz Muhammad,66.88
152,Shane Larkin,38.29
153,Steven Adams,76.25
154,Tim Hardaway Jr.,79.82
155,Tony Snell,67.46
156,Trey Burke,40.08
157,Victor Oladipo,48.47
158,Giannis Antetokounmpo,50.29
159,Sergey Karasev,76.67
160,Lucas Nogueira,96.43
161,Phil Pressey,16.67
162,James Ennis,79.63
163,Matthew Dellavedova,55.07
164,Solomon Hill,62.37
165,Raul Neto,43.33
166,Ryan Kelly,74.55
167,Joffrey Lauvergne,72.82
168,Ian Clark,64.04
169,Seth Curry,59.80
170,Troy Daniels,91.01
171,Jonathon Simmons,62.30
172,Thanasis Antetokounmpo,33.33
173,PJ Hairston,78.62
174,Russ Smith,28.57
175,Shabazz Napier,42.65
176,Jordan McRae,29.41
177,Zach LaVine,50.81
178,Tyler Ennis,44.05
179,Markel Brown,62.20
180,Elfrid Payton,34.59
181,Jordan Clarkson,41.05
182,Devyn Marble,66.67
183,KJ McDaniels,62.07
184,CJ Wilcox,73.08
185,Gary Harris,71.87
186,Spencer Dinwiddie,10.53
187,Nik Stauskas,73.81
188,Rodney Hood,42.16
189,Jordan Adams,50.00
190,Cleanthony Early,75.00
191,Glenn Robinson,69.23
192,James Young,81.82
193,Jerami Grant,72.91
194,Joe Harris,100.00
195,Doug McDermott,84.19
196,Cory Jefferson,77.78
197,Sean Kilpatrick,66.67
198,Aaron Gordon,58.76
199,TJ Warren,68.78
200,Lamar Patterson,82.14
201,Marcus Smart,50.54
202,Kyle Anderson,52.90
203,Dwight Powell,89.04
204,Adreian Payne,64.15
205,Noah Vonleh,57.26
206,Julius Randle,45.81
207,Cameron Bairstow,69.23
208,Johnny O'Bryant,73.26
209,James Michael McAdoo,77.78
210,Jarnell Stokes,66.67
211,Keith Appling,0.00
212,Andrew Wiggins,54.04
213,Jabari Parker,72.01
214,Bryce Cotton,25.00
215,Mitch McGary,54.55
216,JaKarr Sampson,59.29
217,Eric Moreland,100.00
218,Josh Huestis,100.00
219,Shayne Whittington,40.00
220,Clint Capela,66.67
221,Jusuf Nurkic,74.26
222,Damien Inglis,69.23
223,Bruno Caboclo,100.00
224,Nikola Jokic,62.75
225,Kristaps Porzingis,67.29
226,Walter Tavares,63.64
227,Damjan Rudez,92.00
228,Tyler Johnson,57.63
229,Tim Frazier,33.33
230,Tarik Black,73.68
231,Langston Galloway,59.31
232,Joe Ingles,71.77
233,Jarell Eddie,90.00
234,Xavier Munford,43.75
235,TJ McConnell,25.69
236,Jahlil Okafor,41.31
237,Emmanuel Mudiay,38.60
238,Tyus Jones,37.50
239,Cliff Alexander,40.00
240,Justin Anderson,59.15
241,Anthony Brown,82.05
242,Montrezl Harrell,63.79
243,Aaron Harrison,80.00
244,Ish Smith,24.43
245,Elijah Millsap,54.55
246,Lance Thomas,67.46
247,Kyrie Irving,28.93
248,Derrick Williams,64.17
249,Enes Kanter,60.39
250,Jeremy Lin,46.67
251,Gary Neal,52.32
252,Greg Monroe,57.03
253,Al-Farouq Aminu,73.58
254,Gordon Hayward,45.30
255,Paul George,45.45
256,Cole Aldrich,77.44
257,Ed Davis,58.25
258,Patrick Patterson,76.00
259,Luke Babbitt,68.85
260,Kevin Seraphin,60.71
261,Eric Bledsoe,21.52
262,Avery Bradley,73.25
263,James Anderson,64.18
264,Elliot Williams,50.00
265,Trevor Booker,62.11
266,Greivis Vasquez,53.33
267,Tibor Pleiss,90.91
268,Hassan Whiteside,66.02
269,Nemanja Bjelica,77.27
270,Lance Stephenson,31.25
271,Jeremy Evans,88.46
272,Donald Sloan,44.81
273,Timofey Mozgov,85.22
274,Evan Turner,34.11
275,Derrick Favors,64.59
276,Wesley Johnson,92.72
277,DeMarcus Cousins,60.23
278,Patrick Beverley,58.53
279,Marcus Thornton,60.65
280,Chase Budinger,68.27
281,Danny Green,85.71
282,Patty Mills,63.08
283,Garrett Temple,73.63
284,Wesley Matthews,68.28
285,Alonzo Gee,73.28
286,John Wall,28.67
287,Jodie Meeks,71.43
288,Jeff Ayres,75.00
289,Dante Cunningham,89.78
290,DeJuan Blair,82.14
291,Jonas Jerebko,80.51
292,Toney Douglas,52.17
293,DeMarre Carroll,72.38
294,Wayne Ellington,70.18
295,Tyreke Evans,28.68
296,Ricky Rubio,44.75
297,Stephen Curry,46.58
298,Jordan Hill,56.12
299,DeMar DeRozan,29.61
300,Brandon Jennings,41.07
301,Gerald Henderson,59.48
302,Tyler Hansbrough,59.38
303,James Johnson,45.13
304,Jrue Holiday,27.32
305,Ty Lawson,36.69
306,Jeff Teague,28.57
307,Darren Collison,44.30
308,Omri Casspi,73.33
309,Taj Gibson,64.26
310,Goran Dragic,32.85
311,Sasha Kaun,66.67
312,Anthony Morrow,75.00
313,Blake Griffin,64.12
314,James Harden,29.44
315,Sonny Weems,76.19
316,Luc Mbah a Moute,91.40
317,Omer Asik,71.15
318,Mario Chalmers,34.62
319,DeAndre Jordan,78.06
320,JaVale McGee,70.13
321,JJ Hickson,71.25
322,Alexis Ajinca,76.67
323,Ryan Anderson,60.45
324,Courtney Lee,71.72
325,Kosta Koufos,74.47
326,Serge Ibaka,85.82
327,Nicolas Batum,56.18
328,George Hill,52.60
329,Darrell Arthur,82.81
330,Nikola Pekovic,84.21
331,Marreese Speights,82.23
332,Roy Hibbert,60.99
333,Brandon Rush,92.79
334,Robin Lopez,52.38
335,Jerryd Bayless,67.03
336,Jason Thompson,69.23
337,Brook Lopez,59.22
338,Eric Gordon,64.07
339,D.J. Augustin,39.19
340,Brandon Bass,76.44
341,CJ Miles,72.20
342,Ersan Ilyasova,73.93
343,Monta Ellis,32.18
344,Lou Williams,43.46
345,Amir Johnson,67.60
346,Marcin Gortat,79.45
347,Ronnie Price,54.31
348,Jose Calderon,53.11
349,Alan Anderson,71.43
350,Charles Hayes,100.00
351,Andrea Bargnani,86.61
352,LaMarcus Aldridge,66.04
353,Randy Foye,44.97
354,Rudy Gay,57.51
355,JJ Redick,88.49
356,Thabo Sefolosha,76.06
357,Rajon Rondo,28.17
358,Kyle Lowry,38.22
359,Jordan Farmar,28.57
