,Name,GP,Min,ASTR,TOR,ORR,DRR,rim_FGA_p40,5_9_FGA_p40,10_14_FGA_p40,15_19_FGA_p40,20_24_FGA_p40,25_29_FGA_p40,BLK_p40,STL_p40,Assited FGM
0,Aaron Brooks,66,16.2,23.6,10.9,2.0,7.6,4.938271604938272,2.2222222222222223,1.4814814814814816,1.4814814814814816,2.469135802469136,4.197530864197531,0.2469135802469136,0.9876543209876544,26.06
1,Aaron Gordon,76,23.8,15.0,7.9,9.1,21.5,5.88235294117647,1.0084033613445378,0.8403361344537815,1.3445378151260503,2.1848739495798317,1.0084033613445378,1.1666666666666667,1.3333333333333333,58.76
2,Aaron Harrison,18,4.1,4.3,12.8,5.8,9.0,1.9512195121951221,0.0,0.0,0.9756097560975611,3.9024390243902443,1.9512195121951221,0.0,1.9512195121951221,80.0
3,Adreian Payne,49,9.4,13.8,16.3,4.3,21.4,2.978723404255319,2.127659574468085,0.851063829787234,2.127659574468085,3.404255319148936,0.851063829787234,0.851063829787234,1.276595744680851,64.15
4,Al Horford,78,32.1,17.6,7.2,6.4,17.8,5.358255451713395,1.6199376947040498,0.9968847352024922,3.6137071651090342,3.364485981308411,1.1214953271028036,1.8691588785046729,0.9968847352024922,81.29
5,Al Jefferson,42,23.3,10.5,4.9,5.7,23.8,5.836909871244635,4.978540772532189,3.6051502145922747,3.4334763948497855,0.0,0.0,1.5450643776824033,1.0300429184549356,55.51
6,Al-Farouq Aminu,79,28.5,13.2,11.4,4.5,18.9,3.789473684210526,0.8421052631578947,0.42105263157894735,0.8421052631578947,5.052631578947368,1.263157894736842,0.8421052631578947,1.263157894736842,73.58
7,Alan Anderson,9,14.4,15.8,3.5,0.8,15.9,2.2222222222222223,0.2777777777777778,1.1111111111111112,0.5555555555555556,3.888888888888889,4.444444444444445,0.27586206896551724,0.5517241379310345,71.43
8,Alan Williams,6,4.2,7.4,22.2,21.3,26.7,9.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,50.0
9,Alec Burks,28,27.1,11.9,9.9,2.5,12.9,6.051660516605166,1.6236162361623616,1.918819188191882,2.6568265682656826,3.9852398523985237,0.8856088560885609,0.14760147601476015,0.8856088560885609,32.85
